rec_id,item_id,stud_id,result,irt
6259,2.2.2,352,1,55
181,2.2.3,735,0,172
245,2.2.3,703,1,159
645,2.2.3,541,1,133
1118,2.2.3,696,0,78
1119,2.2.3,696,0,101
1122,2.2.3,696,0,383
1407,2.2.3,413,1,244
1469,2.2.3,351,1,46
1688,2.2.3,239,0,16
1689,2.2.3,239,0,28
1692,2.2.3,239,0,144
1760,2.2.3,243,0,19
3416,2.2.3,34,0,24
3417,2.2.3,34,0,244
4338,2.2.3,416,1,130
4708,2.2.3,732,1,223
4923,2.2.3,540,1,131
4985,2.2.3,258,0,26
5074,2.2.3,258,1,428
5319,2.2.3,369,0,116
5320,2.2.3,369,0,126
5367,2.2.3,369,1,80
5816,2.2.3,397,1,50
6198,2.2.3,529,1,89
6300,2.2.3,352,1,59
228,2.2.4,685,1,247
646,2.2.4,541,1,231
1089,2.2.4,696,1,77
1187,2.2.4,703,1,138
1416,2.2.4,413,1,542
1472,2.2.4,351,0,82
1478,2.2.4,351,1,299
1698,2.2.4,239,0,24
1699,2.2.4,239,0,28
1704,2.2.4,239,1,112
1762,2.2.4,243,1,204
4347,2.2.4,416,0,231
4352,2.2.4,416,0,220
4360,2.2.4,416,1,429
4925,2.2.4,540,1,91
5078,2.2.4,258,0,177
5085,2.2.4,258,0,540
5087,2.2.4,258,1,5
5364,2.2.4,369,1,257
5817,2.2.4,397,1,63
6200,2.2.4,529,1,44
231,2.2.5,685,0,9
756,2.2.5,541,1,204
1204,2.2.5,703,0,220
1424,2.2.5,413,0,282
1425,2.2.5,413,1,333
1482,2.2.5,351,0,101
1705,2.2.5,239,0,13
1706,2.2.5,239,0,16
1707,2.2.5,239,0,96
1764,2.2.5,243,0,181
4370,2.2.5,416,0,242
4927,2.2.5,540,1,78
5095,2.2.5,258,1,837
5372,2.2.5,369,1,112
5433,2.2.5,78,0,86
5819,2.2.5,397,1,70
6209,2.2.5,529,1,223
759,2.2.6,541,1,110
1095,2.2.6,696,1,76
1193,2.2.6,703,1,264
1433,2.2.6,413,1,141
1709,2.2.6,239,0,34
1710,2.2.6,239,0,38
1712,2.2.6,239,0,87
4390,2.2.6,416,1,52
4928,2.2.6,540,1,76
5122,2.2.6,258,1,8
5375,2.2.6,369,1,92
5822,2.2.6,397,1,63
6211,2.2.6,529,1,36
656,2.2.7,703,0,250
758,2.2.7,541,1,148
1098,2.2.7,696,0,64
1099,2.2.7,696,0,90
1100,2.2.7,696,1,110
1435,2.2.7,413,0,147
1437,2.2.7,413,1,193
1713,2.2.7,239,1,17
4392,2.2.7,416,0,62
4929,2.2.7,540,0,65
4930,2.2.7,540,0,91
5123,2.2.7,258,0,5
5376,2.2.7,369,0,26
5377,2.2.7,369,1,172
5823,2.2.7,397,1,44
6118,2.2.7,565,0,1619
6119,2.2.7,565,0,1801
6217,2.2.7,529,0,178
6218,2.2.7,529,1,197
282,2.2.8,703,1,121
762,2.2.8,541,1,159
763,2.2.8,541,0,172
1102,2.2.8,696,1,80
1714,2.2.8,239,0,5
1715,2.2.8,239,0,7
1716,2.2.8,239,0,18
4403,2.2.8,416,1,76
4931,2.2.8,540,1,74
5115,2.2.8,258,1,40
5380,2.2.8,369,1,86
5825,2.2.8,397,1,61
6221,2.2.8,529,1,72
268,2.2.9,703,1,152
760,2.2.9,541,1,60
1105,2.2.9,696,1,112
1366,2.2.9,413,1,69
1718,2.2.9,239,0,6
1719,2.2.9,239,0,12
1720,2.2.9,239,1,17
4404,2.2.9,416,1,102
4936,2.2.9,540,1,384
5117,2.2.9,258,0,161
5118,2.2.9,258,1,307
5381,2.2.9,369,1,88
5827,2.2.9,397,1,38
6223,2.2.9,529,1,45
651,2.3.1,541,1,962
1110,2.3.1,696,1,204
1491,2.3.1,413,1,619
5383,2.3.1,369,1,148
5484,2.3.1,788,1,48
5844,2.3.1,397,1,528
6263,2.3.1,352,1,91
3425,2.3.10,34,1,993
4416,2.3.10,416,1,813
4712,2.3.10,732,0,414
6182,2.3.10,529,1,379
1771,2.3.11,243,0,438
2041,2.3.11,453,0,1939
5490,2.3.11,788,1,481
6185,2.3.11,529,1,495
6290,2.3.11,352,1,583
649,2.3.12,541,1,681
657,2.3.12,703,1,608
1319,2.3.12,782,0,713
1492,2.3.12,413,1,737
4711,2.3.12,732,0,438
4959,2.3.12,540,1,1277
5837,2.3.12,397,1,278
6176,2.3.12,529,1,82
658,2.3.13,703,1,2088
1307,2.3.13,782,1,169
1486,2.3.13,413,1,178
4951,2.3.13,540,1,960
5386,2.3.14,369,0,302
5834,2.3.14,397,1,188
6281,2.3.14,352,1,488
647,2.3.15,541,0,201
659,2.3.15,703,0,3407
3422,2.3.2,34,1,817
4407,2.3.2,416,0,248
4958,2.3.2,540,1,1204
5394,2.3.2,369,1,856
6178,2.3.2,529,1,197
1205,2.3.3,703,1,136
1489,2.3.3,413,1,352
3424,2.3.3,34,1,873
4960,2.3.3,540,0,1295
5395,2.3.3,369,1,978
5487,2.3.3,788,0,200
6268,2.3.3,352,1,209
3421,2.3.4,34,0,733
5391,2.3.4,369,1,534
1311,2.3.5,782,0,427
6180,2.3.5,529,1,300
648,2.3.6,541,1,552
1199,2.3.6,703,1,244
1309,2.3.6,782,0,333
1768,2.3.6,243,1,306
5842,2.3.6,397,1,465
1987,2.3.7,453,0,802
5489,2.3.7,788,0,355
6275,2.3.7,352,0,368
1316,2.3.8,782,1,632
4412,2.3.8,416,1,736
6244,2.3.8,135,0,865
650,2.3.9,541,1,797
3420,2.3.9,34,0,676
4944,2.3.9,540,1,504
5486,2.3.9,788,1,184
5840,2.3.9,397,1,371
1463,3.1.1,413,1,459
4976,3.1.1,540,1,1910
6253,3.1.1,529,1,780
767,3.1.10,541,0,283
1172,3.1.10,696,0,381
1471,3.1.10,413,1,66
4972,3.1.10,540,0,1669
5856,3.1.11,397,1,316
6245,3.1.11,135,0,913
2067,3.1.12,453,1,2738
3430,3.1.12,34,1,1599
4421,3.1.12,416,1,1100
4969,3.1.12,540,1,1533
1475,3.1.13,413,1,312
2053,3.1.13,453,1,2348
3426,3.1.14,34,0,1358
5400,3.1.14,369,1,1454
5495,3.1.14,788,1,600
5851,3.1.14,397,1,155
6236,3.1.14,529,1,378
1474,3.1.15,413,1,226
4974,3.1.15,540,0,1820
5863,3.1.15,397,0,523
5401,3.1.2,369,1,1547
5847,3.1.2,397,1,75
1186,3.1.3,703,1,60
3429,3.1.3,34,1,1575
4427,3.1.3,416,1,1358
5402,3.1.3,369,1,1645
6258,3.1.3,529,1,857
2059,3.1.4,453,0,2540
5403,3.1.4,369,0,1736
5491,3.1.4,788,1,509
1462,3.1.5,413,1,243
3428,3.1.5,34,0,1529
4422,3.1.5,416,1,1158
3427,3.1.6,34,0,1393
4966,3.1.6,540,1,1445
5493,3.1.6,788,1,560
4449,3.1.7,23,0,978
5399,3.1.7,369,1,1327
5492,3.1.7,788,1,531
4425,3.1.8,416,0,1322
5494,3.1.8,788,0,578
6250,3.1.8,529,0,728
4423,3.1.9,416,1,1214
5853,3.1.9,397,1,271
6234,3.1.9,529,1,287
813,3.2.1,343,1,148
1125,3.2.1,696,1,101
1132,3.2.1,703,1,32
1209,3.2.1,273,1,99
1371,3.2.1,413,1,52
1739,3.2.1,484,1,44
3431,3.2.1,34,1,21
3740,3.2.1,782,1,10
4428,3.2.1,416,1,15
4978,3.2.1,540,1,57
5153,3.2.1,351,1,76
5404,3.2.1,369,1,60
5496,3.2.1,788,1,11
5865,3.2.1,397,1,41
6261,3.2.1,529,1,36
6321,3.2.1,532,1,86
1259,3.2.10,273,1,33
1795,3.2.10,484,0,261
1796,3.2.10,484,0,268
1867,3.2.10,484,0,205
3021,3.2.10,605,0,277
3032,3.2.10,605,1,89
3538,3.2.10,343,1,213
3581,3.2.10,385,1,74
4377,3.2.10,87,1,32
5029,3.2.10,540,1,107
5416,3.2.10,369,1,111
6294,3.2.10,529,0,7
6296,3.2.10,529,0,12
6298,3.2.10,529,0,17
6878,3.2.10,413,1,986
815,3.2.2,343,1,115
1133,3.2.2,703,0,24
1134,3.2.2,703,1,28
1210,3.2.2,273,1,67
1399,3.2.2,413,0,146
1459,3.2.2,413,1,55
1740,3.2.2,484,1,123
3432,3.2.2,34,0,46
3741,3.2.2,782,1,13
4430,3.2.2,416,1,22
4982,3.2.2,540,1,65
5155,3.2.2,351,1,210
5405,3.2.2,369,1,77
5497,3.2.2,788,1,8
5867,3.2.2,397,1,38
6264,3.2.2,529,1,112
6323,3.2.2,532,1,45
259,3.2.3,685,0,878
1042,3.2.3,343,0,121
1049,3.2.3,343,0,342
1050,3.2.3,343,1,382
1213,3.2.3,273,1,113
1377,3.2.3,413,1,121
1395,3.2.3,703,0,5
1744,3.2.3,484,0,230
1746,3.2.3,484,0,239
1841,3.2.3,484,0,76
3752,3.2.3,428,1,289
4435,3.2.3,416,0,48
4990,3.2.3,540,1,189
5406,3.2.3,369,1,107
5872,3.2.3,397,1,89
6266,3.2.3,529,1,73
6327,3.2.3,532,1,169
1054,3.2.4,343,0,205
1135,3.2.4,703,0,131
1215,3.2.4,273,1,124
1455,3.2.4,413,1,98
1763,3.2.4,484,0,1064
1766,3.2.4,484,1,1353
3122,3.2.4,803,0,252
3517,3.2.4,343,1,101
4438,3.2.4,416,0,45
4439,3.2.4,416,0,60
4991,3.2.4,540,1,77
5301,3.2.4,346,1,111
5408,3.2.4,369,1,378
5412,3.2.4,37,0,1618
5417,3.2.4,37,0,2066
5421,3.2.4,37,0,2741
5900,3.2.4,397,0,153
6269,3.2.4,529,1,50
1129,3.2.5,696,0,61
1130,3.2.5,696,0,191
1131,3.2.5,696,0,192
1217,3.2.5,273,1,167
